,iso3,year,sector_GMatrix,g_primaryagr,g_otherprim,g_energy,g_procfoods,g_bevtobacco,g_textiles,g_clothing,g_leather,g_lumber,g_paperpub,g_chemicals,g_nonmetmin,g_metals,g_fabmetals,g_transpequip,g_machinery,g_othermanuf,g_water,g_construction,g_distribution,g_transport,g_communcation,g_finance,g_insurance,g_obsict,g_oconsumer,g_oservices,sector_HMatrix,h_primaryagr,h_otherprim,h_energy,h_procfoods,h_bevtobacco,h_textiles,h_clothing,h_leather,h_lumber,h_paperpub,h_chemicals,h_nonmetmin,h_metals,h_fabmetals,h_transpequip,h_machinery,h_othermanuf,h_water,h_construction,h_distribution,h_transport,h_communcation,h_finance,h_insurance,h_obsict,h_oconsumer,h_oservices,DomVAshare,GXshare,DXshare,VXsharefwd,VXsharebwd
863,jpn,1997,oservices,257.953,48.0613,159.432,2360.79,860.589,304.376,886.779,91.4569,-6.3598,139.79,3978.29,159.099,390.71,146.685,11600.1,31220.1,1013.47,182.484,10058.9,6987.81,1953.92,986.993,39.6319,636.339,1566.89,2923.13,762891.0,oservices,3.2817,2.42,32.4783,30.7815,12.1697,170.506,23.742,4.9375,6.322,42.7659,2867.11,211.515,581.591,147.477,5819.84,14891.8,220.204,1.6058,103.519,62.0322,535.5,47.9819,11.5652,29.3975,114.366,93.3819,3835.2,0.754129,0.009874,0.021188,0.066814,0.010813
1673,usa,1997,oservices,5197.48,608.989,1569.01,9028.41,1664.09,648.118,934.3,133.753,1246.61,1229.41,4681.66,310.058,356.766,427.653,6735.22,12129.4,601.676,501.6,10563.9,22182.1,9702.47,6049.45,10901.6,3686.11,6751.84,7099.85,1900000.0,oservices,2475.54,375.359,146.499,795.352,119.775,190.914,84.4896,29.763,164.208,277.784,1856.39,211.411,345.232,175.83,1699.45,5245.53,178.376,3.8411,54.2788,196.784,3614.14,219.836,286.206,107.026,719.208,240.158,34044.4,0.792774,0.048317,0.085411,0.069674,0.053362
2726,jpn,2001,oservices,246.748,46.3329,-43.6472,2329.43,757.516,339.365,774.034,84.805,-2.5193,122.546,3762.55,175.09,372.327,143.064,10672.9,25542.3,915.758,157.906,8128.29,6210.81,1866.57,839.688,37.9196,528.837,1350.23,2482.54,925274.0,oservices,11.5201,2.9435,24.5213,23.4983,13.0188,200.539,10.6769,4.3536,5.3734,37.4602,2772.38,214.193,542.661,131.317,5814.16,12572.8,236.766,0.2608,61.0796,76.1155,454.561,20.4701,10.5845,2.5517,200.443,17.776,1214.77,0.738868,0.003372,0.007241,0.058674,0.00371
3671,usa,2001,oservices,6154.92,717.434,1516.91,9038.05,1979.87,772.976,1088.26,160.429,1526.35,1434.54,5652.15,372.903,320.467,539.603,8309.25,14641.0,851.013,607.603,14323.5,27824.0,10818.3,7506.12,13309.4,5146.4,8500.57,8080.88,2400000.0,oservices,2342.64,259.459,124.507,638.19,71.0958,191.064,60.1206,23.521,140.098,268.995,2083.72,238.934,305.162,190.228,1781.06,5391.8,241.818,5.2643,36.1477,242.339,2539.03,244.615,346.496,118.841,993.557,316.678,35884.0,0.796586,0.048763,0.084111,0.068043,0.053539
4562,deu,2004,oservices,521.965,45.6463,-650.27,3006.09,1249.02,340.527,259.541,135.103,310.034,945.222,3334.61,341.727,954.677,622.434,3783.84,3788.07,755.531,196.22,3409.17,1482.59,1823.2,354.211,399.602,635.269,4613.94,817.054,465524.0,oservices,244.935,38.6754,394.458,721.829,168.708,265.695,108.346,76.7453,250.398,446.622,2865.58,241.961,961.92,394.84,2713.47,2833.27,165.819,3.3472,107.639,63.5846,964.287,39.0517,43.7958,90.8444,618.628,45.5074,8785.08,0.711466,0.012337,0.024044,0.033273,0.015437
5237,jpn,2004,oservices,382.645,70.5449,-302.121,2417.57,1036.65,254.005,117.904,35.8963,7.5665,96.0184,6488.62,273.381,696.756,283.879,16163.9,36919.1,705.361,235.785,8553.13,10426.6,3021.27,1840.27,236.012,1283.98,5050.84,3993.98,1200000.0,oservices,4.0731,9.55,105.93,33.1343,14.7386,212.31,9.9502,4.3658,8.5901,72.1508,5074.6,273.608,822.176,227.062,9770.55,21037.7,215.628,0.7855,106.339,185.083,907.438,21.901,33.4612,23.4047,360.842,50.6659,3803.49,0.729916,0.00773,0.019633,0.078272,0.008786
6749,usa,2004,oservices,721.608,67.9032,694.674,2144.53,544.963,462.197,562.039,61.2715,629.154,624.565,1978.39,53.3488,139.419,228.91,3485.91,5330.71,910.815,463.144,4181.97,12864.0,1288.55,1446.43,6862.7,2544.68,2242.61,11189.2,3500000.0,oservices,307.963,43.1028,148.62,185.067,32.0918,138.648,32.7474,18.543,60.581,152.818,1042.52,36.5315,152.913,113.803,1023.62,2076.0,238.3,4.4621,13.4596,117.684,363.741,46.5448,287.254,123.692,658.93,315.996,34396.1,0.728758,0.04287,0.076641,0.045919,0.048566
7640,deu,2007,oservices,620.033,62.3409,-57.8851,3577.84,1456.66,385.758,306.646,159.654,432.822,1106.27,4506.83,429.322,1556.97,840.015,4602.3,4964.31,859.212,216.753,4281.1,1652.07,2321.66,413.309,458.653,711.188,5479.0,929.448,530983.0,oservices,340.423,50.0334,715.592,1008.8,247.459,314.862,141.623,96.6622,361.887,557.902,4060.38,320.928,1569.3,582.864,3382.32,3792.04,223.339,4.2545,202.728,99.2753,1406.66,53.0894,87.3334,103.725,880.692,56.7645,7849.76,0.709875,0.007765,0.015433,0.029402,0.010057
8315,jpn,2007,oservices,317.133,60.9534,-154.694,2109.76,907.717,227.72,99.985,30.7418,10.6723,93.5,7020.83,291.222,968.354,274.267,17880.3,34421.4,634.489,212.671,7489.56,9466.24,2806.58,1687.09,227.104,1178.48,4731.69,3599.12,1100000.0,oservices,4.3971,10.1984,200.874,38.1792,13.9258,192.405,7.2181,3.9982,11.5498,73.1056,5879.23,293.499,1068.5,228.396,12197.3,20423.3,205.538,0.6646,150.825,235.732,1018.17,23.9526,45.3865,34.4836,444.386,45.2046,3086.83,0.725361,0.005263,0.013804,0.074818,0.006365
9827,usa,2007,oservices,705.593,98.6286,1072.47,2459.77,642.577,479.864,644.335,72.9322,739.742,723.066,2355.14,67.4956,268.594,271.37,4322.51,6333.34,980.919,543.92,4974.42,15042.7,1423.3,1759.06,8155.8,3050.51,3001.7,13304.2,4100000.0,oservices,354.613,64.92,284.291,234.447,36.1267,123.641,24.7581,15.834,67.8876,179.166,1275.91,44.7302,284.555,140.886,1391.4,2324.96,262.484,5.574,25.1193,147.552,440.151,72.2439,562.495,176.887,851.307,396.386,47543.7,0.723447,0.046234,0.082685,0.049845,0.053519
10556,chn,2011,oservices,970.86,323.13,490.2,2524.64,727.15,1145.92,2493.73,1437.46,550.35,407.42,2528.09,438.44,528.35,939.48,4752.52,14786.7,1495.21,920.15,14702.2,4196.42,2464.88,1171.72,1155.27,1655.81,4137.79,2504.52,949300.0,oservices,55.49,47.42,238.06,232.77,12.87,1169.15,1562.55,922.9,550.54,246.3,1696.03,397.59,545.17,782.87,810.1,8048.67,809.99,11.67,46.67,299.63,911.38,36.38,30.37,86.2,288.6,87.93,5181.83,0.6659,0.004,0.0116,0.0168,0.0047
10745,deu,2011,oservices,741.3,66.76,-61.17,3984.53,1565.92,389.33,314.14,172.42,424.61,1171.31,5267.0,454.03,1753.31,867.34,4957.81,5085.5,881.09,229.51,4156.53,1737.22,2545.1,433.17,482.3,750.87,5716.01,987.95,598218.0,oservices,449.57,55.21,708.52,1327.88,306.68,315.94,147.44,110.51,355.37,593.6,4814.89,341.98,1768.18,612.64,3752.99,3945.75,225.3,4.22,196.26,98.04,1608.53,52.5,86.91,103.4,874.63,56.38,7820.34,0.7068,0.0068,0.0139,0.0286,0.009
11501,jpn,2011,oservices,450.8,86.23,-154.25,2944.77,1304.22,277.97,132.0,43.57,16.37,132.31,9505.25,426.05,1337.21,386.87,19502.3,40668.5,820.98,304.01,8878.08,13046.3,3837.03,2416.39,311.82,1675.8,5964.23,5145.17,1600000.0,oservices,11.62,14.73,203.63,47.82,20.31,231.17,8.55,5.89,17.43,101.14,7794.68,418.31,1465.77,326.47,12080.4,23698.6,274.7,0.7,153.71,239.83,1284.02,25.57,47.32,35.79,460.4,47.68,3182.35,0.7294,0.0047,0.012,0.0726,0.0056
13067,usa,2011,oservices,939.54,115.77,1063.15,2735.43,721.46,509.46,681.98,77.43,685.99,832.53,2994.02,89.54,403.26,312.88,4111.49,6147.54,1047.61,592.67,3999.47,15881.8,1522.81,1881.89,8723.33,3313.63,2945.29,14477.7,4600000.0,oservices,571.61,83.33,282.29,377.56,71.05,142.2,26.32,17.64,77.17,241.92,1848.38,64.42,420.56,193.76,1418.51,2792.88,321.89,5.56,24.7,146.88,493.87,71.8,561.4,176.58,845.01,396.07,47470.9,0.7219,0.0377,0.0688,0.0427,0.0443
